Country ISO3,Country,Year,Domain,Metric,Value,Unit,Source,Source URL,Loaded at
ABW,Aruba,2016,Demographics,Population,108727,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ABW,Aruba,2016,Economics,GDP (current US$),2983637430.1676,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ABW,Aruba,2017,Demographics,Population,108735,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ABW,Aruba,2017,Economics,GDP (current US$),3092427932.96089,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ABW,Aruba,2018,Demographics,Population,108908,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ABW,Aruba,2018,Economics,GDP (current US$),3276187709.49721,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ABW,Aruba,2019,Demographics,Population,109203,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ABW,Aruba,2019,Economics,GDP (current US$),3347561738.94591,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ABW,Aruba,2020,Demographics,Population,108587,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ABW,Aruba,2020,Economics,GDP (current US$),2461056053.22795,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ABW,Aruba,2021,Demographics,Population,107700,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ABW,Aruba,2021,Economics,GDP (current US$),2889305033.55975,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ABW,Aruba,2022,Demographics,Population,107310,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ABW,Aruba,2022,Economics,GDP (current US$),3326671314.7742,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ABW,Aruba,2023,Demographics,Population,107359,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ABW,Aruba,2023,Economics,GDP (current US$),3746573413.07565,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ABW,Aruba,2024,Demographics,Population,107995,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ABW,Aruba,2024,Economics,GDP (current US$),4167588070.29217,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ABW,Aruba,2025,Demographics,Population,108785,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AFG,Afghanistan,2016,Demographics,Population,34700612,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AFG,Afghanistan,2016,Economics,GDP (current US$),18116572395.0772,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AFG,Afghanistan,2017,Demographics,Population,35688935,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AFG,Afghanistan,2017,Economics,GDP (current US$),18753456497.8159,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AFG,Afghanistan,2018,Demographics,Population,36743039,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AFG,Afghanistan,2018,Economics,GDP (current US$),18053222687.4126,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AFG,Afghanistan,2019,Demographics,Population,37856121,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AFG,Afghanistan,2019,Economics,GDP (current US$),18799444490.1128,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AFG,Afghanistan,2020,Demographics,Population,39068979,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AFG,Afghanistan,2020,Economics,GDP (current US$),19955929052.1496,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AFG,Afghanistan,2021,Demographics,Population,40000412,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AFG,Afghanistan,2021,Economics,GDP (current US$),14259995441.0759,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AFG,Afghanistan,2022,Demographics,Population,40578842,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AFG,Afghanistan,2022,Economics,GDP (current US$),14497243872.1337,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AFG,Afghanistan,2023,Demographics,Population,41454761,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AFG,Afghanistan,2023,Economics,GDP (current US$),17152234636.8715,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AFG,Afghanistan,2024,Demographics,Population,42647492,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AFG,Afghanistan,2024,Economics,GDP (current US$),17778508875.7396,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AFG,Afghanistan,2025,Demographics,Population,43844111,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
